run,group,method,split,seed,stratum,n,pos,balanced_acc,sensitivity,specificity,auc
method-irm-0-s1-20260715-232411,method,irm,0,1,tan,149,45,0.7675213675213675,0.6888888888888889,0.8461538461538461,0.8621794871794872
method-irm-0-s1-20260715-232411,method,irm,0,1,brown,95,32,0.7879464285714286,0.71875,0.8571428571428571,0.8591269841269841
method-irm-0-s1-20260715-232411,method,irm,0,1,dark,5,2,0.5,0.0,1.0,1.0
method-irm-0-s2-20260715-233310,method,irm,0,2,very_light,33,20,0.6153846153846154,1.0,0.23076923076923078,0.923076923076923
method-irm-0-s2-20260715-233310,method,irm,0,2,light,61,28,0.6515151515151515,1.0,0.30303030303030304,0.8798701298701299
method-irm-0-s2-20260715-233310,method,irm,0,2,intermediate,132,42,0.7206349206349206,0.7857142857142857,0.6555555555555556,0.837037037037037
method-irm-0-s2-20260715-233310,method,irm,0,2,tan,174,43,0.7494230427835966,0.6744186046511628,0.8244274809160306,0.8384519794070654
method-irm-0-s2-20260715-233310,method,irm,0,2,brown,54,12,0.75,0.6666666666666666,0.8333333333333334,0.8194444444444444
method-irm-1-s1-20260715-234918,method,irm,1,1,very_light,36,10,0.823076923076923,0.8,0.8461538461538461,0.9153846153846154
method-irm-1-s1-20260715-234918,method,irm,1,1,light,63,8,0.7670454545454546,0.625,0.9090909090909091,0.9386363636363637
method-irm-1-s1-20260715-234918,method,irm,1,1,intermediate,67,4,0.9920634920634921,1.0,0.9841269841269841,1.0
method-irm-1-s1-20260715-234918,method,irm,1,1,tan,51,5,0.6,0.2,1.0,0.817391304347826
method-irm-1-s1-20260715-234918,method,irm,1,1,brown,16,0,1.0,,1.0,
method-irm-1-s1-20260715-234918,method,irm,1,1,dark,2,0,1.0,,1.0,
method-irm-1-s2-20260716-001214,method,irm,1,2,very_light,60,11,0.8079777365491652,0.6363636363636364,0.9795918367346939,0.9684601113172542
method-irm-1-s2-20260716-001214,method,irm,1,2,light,89,12,0.7175324675324675,0.5,0.935064935064935,0.8528138528138528
method-irm-1-s2-20260716-001214,method,irm,1,2,intermediate,50,3,0.6560283687943262,0.3333333333333333,0.9787234042553191,0.9290780141843972
method-irm-1-s2-20260716-001214,method,irm,1,2,tan,35,1,0.9852941176470589,1.0,0.9705882352941176,1.0
method-irm-1-s2-20260716-001214,method,irm,1,2,brown,1,0,1.0,,1.0,
method-irm-2-s1-20260716-003440,method,irm,2,1,very_light,65,27,0.9814814814814814,0.9629629629629629,1.0,1.0
method-irm-2-s1-20260716-003440,method,irm,2,1,light,1,0,1.0,,1.0,
method-irm-2-s1-20260716-003440,method,irm,2,1,intermediate,2,1,1.0,1.0,1.0,1.0
method-irm-2-s1-20260716-003440,method,irm,2,1,tan,1,0,1.0,,1.0,
method-irm-2-s1-20260716-003440,method,irm,2,1,brown,1,0,1.0,,1.0,
method-irm-2-s1-20260716-003440,method,irm,2,1,dark,1,0,1.0,,1.0,
method-irm-2-s2-20260716-005105,method,irm,2,2,very_light,30,11,0.9282296650717703,0.9090909090909091,0.9473684210526315,0.9952153110047848
method-irm-2-s2-20260716-005105,method,irm,2,2,light,11,3,0.875,1.0,0.75,1.0
method-irm-2-s2-20260716-005105,method,irm,2,2,intermediate,7,3,0.875,1.0,0.75,1.0
method-irm-2-s2-20260716-005105,method,irm,2,2,tan,8,2,1.0,1.0,1.0,1.0
method-irm-2-s2-20260716-005105,method,irm,2,2,brown,8,3,1.0,1.0,1.0,1.0
method-irm-2-s2-20260716-005105,method,irm,2,2,dark,7,6,1.0,1.0,1.0,1.0
method-groupdro-indist-s1-20260716-011943,method,groupdro,indist,1,very_light,14,3,1.0,1.0,1.0,1.0
method-groupdro-indist-s1-20260716-011943,method,groupdro,indist,1,light,35,5,1.0,1.0,1.0,1.0
method-groupdro-indist-s1-20260716-011943,method,groupdro,indist,1,intermediate,27,3,0.8125,0.6666666666666666,0.9583333333333334,0.8472222222222222
